名前,日程,種別,緯度,経度,メモ,検索語
1-24 大吉山（展望台）,Day1,聖地,,,夜｜1期8話｜久美子と麗奈が登った夜景の展望台｜展望台の位置を実測する。夜は足元注意・ライト推奨｜★座標未確定（実測）,大吉山展望台 宇治
1-25 美味処 司,Day1,飯,,,夕食,美味処 司 宇治
1-26 あがた祭関連の散歩,Day1,観光,,,夜｜縣神社など、あがた祭ゆかりの場所を夜散歩,縣神社 宇治
1-27 ホテルトレンド JR宇治駅前,Day1,宿,,,"泊｜朝夕食なし｜¥9,225",ホテルトレンド JR宇治駅前
2-01 モグモグベーカリー,Day2,飯,,,朝食｜ベーカリータマキ。パンを買い食い,モグモグベーカリー 宇治
2-02 アクトパル宇治,Day2,聖地,,,"9:00｜2期｜吹奏楽部の合宿地｜滞在約1h。公共交通がないので宇治からタクシー（片道約20分・約¥4,000／往復目安¥8,000）。夏期は無料送迎バスが出る日があるので直前に公式サイト確認｜🕘9:00-17:00｜休月｜¥8,000｜⚠聖地見学は事前に管理棟事務所へ問い合わせが必要",アクトパル宇治
2-03 廣東餐館 鳳飛,Day2,飯,,,"昼食｜からし鶏・餃子。鳳舞系の京都中華。北大路｜🕘12:00-13:30 / 17:00-20:00｜休水｜¥1,400｜⚠昼は12:00–13:30の1時間半のみ。開店直後に入ること",廣東餐館 鳳飛
2-04 中華のサカイ 本店,Day2,飯,,,"名物の冷麺（通年）。鳳飛と徒歩圏｜🕘土日 11:00-15:30 / 17:00-20:30｜休月｜¥1,380",中華のサカイ 本店 紫野
2-05 大徳寺,Day2,観光,,,,大徳寺
2-06 あぶり餅 本家 根元 かざりや,Day2,飯,,,今宮神社門前｜休水,かざりや 今宮神社
2-07 ロームシアター京都,Day2,聖地,,,関西大会の会場｜岡崎,ロームシアター京都
2-08 平安神宮,Day2,観光,,,,平安神宮
2-09 あるぺんローズ,Day2,聖地,,,久美子が食べていたキャラメルフロートの喫茶店｜三条通白川橋東入｜🕘〜18:00｜⚠18:00閉店。東山へ向かう前に寄る,あるぺんローズ 京都市東山区三条通
2-10 清水寺,Day2,観光,,,,清水寺
2-11 いづう,Day2,飯,,,"夜｜八坂神社石段下の鯖寿司の老舗。鯖姿寿司 1人前6貫¥3,240／1本(2人前)¥6,480｜🕘月・水〜土 11:00-22:00 / 日祝 11:00-21:00｜休火｜¥3,240",いづう 祇園本店
2-12 山口大亭 東店,Day2,飯,,,夕食｜昭和40年(1965)創業の大衆居酒屋。祇園町北側286｜🕘17:00-22:00｜休日,山口大亭 祇園
2-13 先斗町・産寧坂 夜散歩,Day2,観光,,,夜,先斗町 京都
2-14 アパホテル〈京都祇園〉EXCELLENT,Day2,宿,,,"泊｜2026/3/23リニューアル・朝夕食なし｜¥7,500",アパホテル 京都祇園 EXCELLENT
3-01 朝食（祇園付近・検討）,Day3,飯,,,朝食｜未定,祇園 京都
3-02 八坂神社,Day3,観光,,,,八坂神社
3-03 知恩院,Day3,観光,,,,知恩院
3-04 南禅寺,Day3,観光,,,,南禅寺
3-05 南禅寺下河原町,Day3,観光,,,面白そうなエリア,南禅寺下河原町 京都
3-06 永観堂 禅林寺,Day3,観光,,,,永観堂 禅林寺
3-07 法然院,Day3,観光,,,,法然院
3-08 昼食（銀閣寺付近・検討）,Day3,飯,,,昼食｜未定,銀閣寺 飲食
3-09 銀閣寺（慈照寺）,Day3,観光,,,"哲学の道の北端。拝観料¥1,000（2026/4/1改定）｜🕘8:30-17:00｜¥1,000",銀閣寺
3-10 京都駅,Day3,観光,,,18:00,京都駅
3-11 京アニショップ 京都駅店,Day3,観光,,,お土産,京都アニメーショングッズストア 京都駅
3-12 京都 発,Day3,観光,,,19:00,京都駅
